rank,company,ticker,ric,sector_gics,sub_sector,tier,tier_label,crowded_flag,mcap_jpy_bn,mcap_usd_m,tsr_1y_pct,tsr_3y_pct,tsr_5y_pct,sector_tsr_1y_pct,sector_tsr_3y_pct,topix_tsr_5y_pct,rel_1y_vs_sector_pp,rel_3y_vs_sector_pp,rel_5y_vs_topix_pp,ev_sales_x,ev_ebit_x,pe_x,fcf_yield_pct,pbr_x,ebit_margin_pct,ebitda_margin_pct,net_cash_jpy_bn,net_cash_pct_mcap,net_debt_ebitda_x,largest_holder_pct,support_rating,support_score_1_5
11,Kamigumi,9364,9364.T,Industrials,"Port logistics, warehousing",3,Tier 3 - Asset-backed,N,500,3333,10.0,30.0,40.0,12.0,28.0,55.0,-2.0,2.0,-15.0,1.50,10.0,14.0,5.0,0.90,11.0,16.0,150,30.0,-1.00,12.0,MODERATE,3.0
12,Mitsubishi Logistics,9301,9301.T,Industrials,"Warehousing, real estate",3,Tier 3 - Asset-backed,N,400,2667,8.0,15.0,20.0,12.0,28.0,55.0,-4.0,-13.0,-35.0,2.00,14.0,16.0,4.0,0.90,12.0,19.0,-30,-7.5,0.30,20.0,MODERATE,3.0
13,Yamato Holdings,9064,9064.T,Industrials,"Parcel delivery, logistics",1,Tier 1 - Flagship,N,600,4000,-20.0,-40.0,-45.0,12.0,28.0,55.0,-32.0,-68.0,-100.0,0.30,15.0,30.0,3.0,0.80,2.0,6.0,100,16.7,-0.50,15.0,VERY HIGH,5.0
14,Shimamura,8227,8227.T,Consumer Discretionary,Apparel retail,2,Tier 2 - High conviction,N,400,2667,-15.0,-10.0,20.0,10.0,25.0,55.0,-25.0,-35.0,-35.0,0.50,7.0,14.0,7.0,1.00,8.0,10.0,150,37.5,-2.50,18.0,MOD-HIGH,3.5
15,Wacoal Holdings,3591,3591.T,Consumer Discretionary,"Innerwear, apparel",3,Tier 3 - Asset-backed,Y,250,1667,5.0,20.0,0.0,10.0,25.0,55.0,-5.0,-5.0,-55.0,0.40,15.0,20.0,4.0,0.80,2.5,6.0,30,12.0,-0.50,12.0,MODERATE,3.0
16,TBS Holdings,9401,9401.T,Communication Services,"Broadcasting, real estate",3,Tier 3 - Asset-backed,N,600,4000,20.0,50.0,60.0,15.0,30.0,55.0,5.0,20.0,5.0,1.00,18.0,20.0,3.0,0.80,5.0,10.0,100,16.7,-0.80,20.0,LOW-MOD,2.0
17,Square Enix Holdings,9684,9684.T,Communication Services,"Video games, entertainment",2,Tier 2 - High conviction,N,1100,7333,25.0,10.0,-10.0,20.0,45.0,55.0,5.0,-35.0,-65.0,2.50,15.0,22.0,4.0,1.80,12.0,15.0,250,22.7,-1.50,13.0,HIGH,4.0
18,Nihon Kohden,6849,6849.T,Health Care,"Medical devices, patient monitoring",2,Tier 2 - High conviction,N,350,2333,-10.0,-30.0,-25.0,8.0,20.0,55.0,-18.0,-50.0,-80.0,1.30,16.0,22.0,4.0,1.30,8.0,12.0,50,14.3,-0.80,13.0,MOD-HIGH,3.5
19,Shimizu Corporation,1803,1803.T,Industrials,"General construction, real estate",3,Tier 3 - Asset-backed,N,900,6000,30.0,20.0,-10.0,25.0,35.0,55.0,5.0,-15.0,-65.0,0.50,14.0,15.0,3.0,0.90,2.5,4.0,-60,-6.7,0.50,12.0,MOD-HIGH,3.5
20,Nippon Shokubai,4114,4114.T,Materials,Specialty and commodity chemicals,3,Tier 3 - Asset-backed,N,300,2000,-5.0,0.0,-10.0,8.0,20.0,55.0,-13.0,-20.0,-65.0,0.40,11.0,14.0,6.0,0.60,4.0,10.0,-15,-5.0,0.30,12.0,MOD-HIGH,3.5
