rank,company,ticker,holder_rank,holder,stake_pct,register_comment
11,Kamigumi,9364,2,Kansai corporate cross-shareholders,10.0,
11,Kamigumi,9364,3,Foreign institutions (aggregate),7.0,
11,Kamigumi,9364,4,Domestic insurers and banks,6.0,
11,Kamigumi,9364,5,Custody Bank of Japan (trust),5.0,
12,Mitsubishi Logistics,9301,1,Mitsubishi group companies (aggregate cross-shareholdings),20.0,NOTE: Mitsubishi group aggregate ~20% — below the 40% screen threshold but the most coordinated friendly bloc in the screen.
12,Mitsubishi Logistics,9301,2,Master Trust Bank of Japan (trust),12.0,
12,Mitsubishi Logistics,9301,3,Foreign institutions (aggregate),7.0,
12,Mitsubishi Logistics,9301,4,Meiji Yasuda and domestic insurers,5.0,
12,Mitsubishi Logistics,9301,5,Custody Bank of Japan (trust),5.0,
13,Yamato Holdings,9064,1,Master Trust Bank of Japan (trust),15.0,Entirely fragmented — no anchor shareholder of any kind. Structurally among the most attackable registers in Japan.
13,Yamato Holdings,9064,2,"Foreign institutions (BlackRock, Norges)",9.0,
13,Yamato Holdings,9064,3,Custody Bank of Japan (trust),6.0,
13,Yamato Holdings,9064,4,Domestic insurers and banks,5.0,
13,Yamato Holdings,9064,5,Employee shareholding association,2.0,
14,Shimamura,8227,1,Founding family and related entities,18.0,"Family aggregate ~18% is the largest bloc — influential, but short of the screen threshold and of blocking a special resolution."
14,Shimamura,8227,2,Master Trust Bank of Japan (trust),13.0,
14,Shimamura,8227,3,Foreign institutions (aggregate),10.0,
14,Shimamura,8227,4,Custody Bank of Japan (trust),5.0,
14,Shimamura,8227,5,Domestic insurers and banks,4.0,
15,Wacoal Holdings,3591,1,Tsukamoto family and related entities,12.0,Family plus regional cross-shareholders form a cohesive ~20% bloc; an activist is already established at ~5%.
15,Wacoal Holdings,3591,2,Master Trust Bank of Japan (trust),11.0,
15,Wacoal Holdings,3591,3,Kyoto-region corporate cross-shareholders and banks,8.0,
15,Wacoal Holdings,3591,4,Foreign institutions (aggregate),8.0,
15,Wacoal Holdings,3591,5,Oasis Management (activist),5.0,
16,TBS Holdings,9401,1,"Media and corporate cross-shareholders (Mainichi, Dentsu, Mitsui)",20.0,"The ~20% media and trading-house bloc is entrenched and motivated by editorial and relationship considerations. Below threshold, but the hardest register here."
16,TBS Holdings,9401,2,Master Trust Bank of Japan (trust),11.0,
16,TBS Holdings,9401,3,Foreign institutions (aggregate),10.0,
16,TBS Holdings,9401,4,Custody Bank of Japan (trust),5.0,
16,TBS Holdings,9401,5,Domestic insurers and banks,5.0,
17,Square Enix Holdings,9684,1,Master Trust Bank of Japan (trust),13.0,"Founder stake ~10%, influential but not controlling. Foreign ownership ~40% — unusually favourable."
17,Square Enix Holdings,9684,2,"Foreign institutions (BlackRock, Capital, Norges)",12.0,
17,Square Enix Holdings,9684,3,Fukushima Yasuhiro and related entities (founder),10.0,
17,Square Enix Holdings,9684,4,Custody Bank of Japan (trust),5.0,
17,Square Enix Holdings,9684,5,Domestic insurers and banks,3.0,
18,Nihon Kohden,6849,1,Master Trust Bank of Japan (trust),13.0,Founder family aggregate ~12%. No controlling position; substantial free float.
18,Nihon Kohden,6849,2,Ogino family and related entities,12.0,
18,Nihon Kohden,6849,3,Foreign institutions (aggregate),9.0,
18,Nihon Kohden,6849,4,Custody Bank of Japan (trust),5.0,
18,Nihon Kohden,6849,5,Domestic insurers and banks,4.0,
19,Shimizu Corporation,1803,1,Master Trust Bank of Japan (trust),12.0,Fragmented with a moderate relationship-bank and corporate bloc. No controlling shareholder.
19,Shimizu Corporation,1803,2,Corporate cross-shareholders and relationship banks,12.0,
19,Shimizu Corporation,1803,3,Foreign institutions (aggregate),8.0,
19,Shimizu Corporation,1803,4,Domestic insurers,5.0,
19,Shimizu Corporation,1803,5,Custody Bank of Japan (trust),5.0,
20,Nippon Shokubai,4114,1,Master Trust Bank of Japan (trust),12.0,Fragmented with a legacy relationship-bank and corporate bloc. No controlling holder.
20,Nippon Shokubai,4114,2,Corporate cross-shareholders and relationship banks,12.0,
20,Nippon Shokubai,4114,3,Foreign institutions (value funds),8.0,
20,Nippon Shokubai,4114,4,Domestic insurers,5.0,
20,Nippon Shokubai,4114,5,Custody Bank of Japan (trust),5.0,
